Trip Year,Trip Month,End Station,End Lat,End Lon,Date,Start Station,Start Lat,Start Lon,Type
2022,June,2 Ave & E 29 St,40.74172351097472,-73.97809267044067,7349,7349,7349,7349,7349
2022,June,2 Ave & E 29 St,40.741724,-73.978093,18,18,18,18,18
2022,June,2 Ave & E 31 St,40.742909,-73.977061,36,36,36,36,36
2022,June,2 Ave & E 31 St,40.74290902,-73.97706058,6094,6094,6094,6094,6094
2022,June,2 Ave & E 55 St,40.75792,-73.966382,12,12,12,12,12
2022,June,2 Ave & E 55 St,40.757920208794026,-73.96638214588165,2692,2692,2692,2692,2692
2022,June,2 Ave & E 72 St,40.768762,-73.958408,29,29,29,29,29
2022,June,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,6459,6459,6459,6459,6459
2022,June,2 Ave & E 96 St,40.7839636,-73.9471673,4015,4015,4015,4015,4015
2022,June,2 Ave & E 96 St,40.783964,-73.947167,11,11,11,11,11
2022,June,2 Ave & E 99 St,40.7862586,-73.94552579,1542,1542,1542,1542,1542
2022,June,2 Ave & E 99 St,40.786259,-73.945526,9,9,9,9,9
2022,June,20 Ave & 21 St,40.784003,-73.912297,239,239,239,239,239
2022,June,20 Ave & 31 St,40.78001336610564,-73.90667617321014,233,233,233,233,233
2022,June,20 Ave & 38 St,40.777112,-73.902382,689,689,689,689,689
2022,June,20 Ave & 42 St,40.775415,-73.900063,259,259,259,259,259
2022,June,20 Ave & 48 St,40.772899,-73.896849,167,167,167,167,167
2022,June,20 Ave & Shore Blvd,40.785994,-73.915098,192,192,192,192,192
2022,June,21 Ave & 80 St,40.770888,-73.889914,172,172,172,172,172
2022,June,21 Ave & Crescent St,40.780478,-73.912212,758,758,758,758,758
2022,June,21 Ave & Shore Blvd,40.783956,-73.916894,387,387,387,387,387
2022,June,21 St & 21 Ave,40.782465,-73.914527,586,586,586,586,586
2022,June,21 St & 23 Ave,40.778557,-73.919046,484,484,484,484,484
2022,June,21 St & 31 Dr,40.7659,-73.930819,1029,1029,1029,1029,1029
2022,June,21 St & 36 Ave,40.760185,-73.936273,1,1,1,1,1
